# NOTE: Do not hand edit this file! It is managed by Conversation Editor.
#       This is the conversation language file for English (United States).

# buddy_inventory_full
conversation_3c3lpm_text	Може, ïх теж вигнали землетруси? Втекли, як пацюки з потопаючого корабля!
conversation_tcvt6a_text	Не знаю, до добра це чи до лиха, що бомжi так притихли.
conversation_67vh5i_text	Я знайшла бомжiв! У них в шахтi невелике мiстечко.
conversation_iu5kqd_text	Iржа ïх з'ïж! Я б в таке мiсце не потикалася. Там небезпечно!
conversation_vhdww6_text	Вони начебто не такi вже й поганi. Не такi, як я ранiше бачила.
conversation_cbcmjx_text	Я тiльки в одному до iржавого болта впевнена. Бомжам довiряти не можна!
conversation_0glm7l_text	Тримайся подалi вiд цього ïхнього мiстечка, якщо життя дороге!
conversation_umbt7u_text	Копати бiля храму досить небезпечно, але там досi повнiсiнько скарбiв.
conversation_c5baff_text	Ха, звучить багатообiцяюче! Тобi явно варто сходити туди та пошукати ïх.
conversation_r8rlnp_text	Ай, iржа! Щоб полiзти в цi руïни та знайти там руду, потрiбен ентузiазм.
conversation_m8hqwy_text	Навiть його брати не такi недотепи, щоб {format highlight}поткнутися в храм{format reset} пiд Вiтряними рiвнинами.
conversation_bvz9xj_text	Ïх захопила божевiльна секта, культ кiнця свiту.
conversation_fj6bw8_text	Руïни в захiднiй пустелi вони теж захопили.
conversation_u26tuh_text	Можу посперечатися: там досi командуэ старий пень Рональд. Вiн був непоганий мужик, але збожеволiв на цiй релiгiйнiй дурницi.
conversation_gr738j_text	Храм пiд Вiтряними рiвнинами, може, i набитий скарбами, але вiн ще й небезпечний, як сто бомжiв.
conversation_grrmq6_text	Ти, дитинко, схоже, по вуха в своïй мiсiï!
conversation_335kyr_text	Тобi можуть трапитися слiди древнiх цивiлiзацiй. На зразок тих старих машин на станцiях.
conversation_2jepw2_text	На моïй пам'ятi вони там завжди були.
conversation_mv0s6q_text	Деякi розумники кажуть, нiби це бомжi нас побудували.
conversation_vxki0p_text	Як на мене, то вони зовсiм не розумники. Вони себе ще експертами називають.
conversation_ysj9vo_text	Я б, мабуть, не ризикувала пiдкопуватися пiд мiсто бомжiв. Хто знаэ, що ти там знайдеш!
conversation_uj1muo_text	Якщо я хочу зупинити землетруси, то менi потрiбно розкопати багато мiсць.
conversation_ykczsp_text	Чула, професорка щось говорить про джунглi в шахтi.
conversation_z8gocf_text	Iржа заïж! Не подобаэться менi це!
conversation_dzwjvq_text	I як нормальному боту копати в таких умовах... Моï синки не впораються...
conversation_x3v93r_text	Може, ти не помiтила, але вони тупi, як вiдро з болтами.
conversation_jmwahi_text	Думаю, нам варто придбати квитки на цю ракету.
conversation_8augkl_text	Моï хлопчики, може, i не приносять користi, але це все одно шестерiнка вiд шестерiнки моэï.
conversation_9v0sjx_text	Думаю, треба буде забронювати п'ять квиткiв на ракету.
conversation_p75xau_text	Мило, що ти так чемно слухаэш стару залiзяку. Батьки тобою напевно пишаються!
conversation_8hjn65_text	Не те що моï синочки. Немаэ вiд них пуття.
conversation_x6q3po_text	"Велика частина постiйно втрачаэться, коли ""працюэ"" в шахтi. А один - полiтик, iржа його ïж."
conversation_8tssip_text	Приэмно, що хоч хтось в шахтi знаэ, що робить!

# inhabitant_02
conversation_royiqq_text	Ого-го! Нiчого собi {format nervous}землетрус{format reset}.
conversation_0z0jlu_text	Круто! Ти змахуэш на бота-провiнцiала - на зразок мене! {format singsong}Як мило!{format reset}
conversation_i3c2ki_text	Менi було так самотньо останнiм часом. Селюком себе почуваю.
conversation_fnv0dz_text	Менi-то здавалося, це з сортиру потягнуло, а це сiльськi тут ходять...
conversation_q58pva_text	Iскорка твоя вiрно говорить. Не годжуся я для великого мiста.
conversation_r68qcd_text	Фен, ти можеш для рiзноманiтностi бути трiшки ввiчливiше? Раптом тобi сподобаэться!
conversation_6c81lb_text	Сумнiваюся.
conversation_qy4k1b_text	Думаю, менi треба повертатися додому, на ферму.
conversation_q27f56_text	Привiт тобi ще раз, мiй провiнцiйний друже!
conversation_bfqhtj_text	На нашого бiдного мера хто тiльки не скаржиться.
conversation_xpriw7_text	Як на мене, вiн знаэ, що говорить.
conversation_kqxpuz_text	Ну, вiн же мiський... Вiн-то звик до мiсцевих порядкiв.
conversation_tdhokx_text	Якщо б мене поставили керувати такою собi махiною, я б з гвинтикiв злетiла - хоч у металобрухт вiдправляй.
conversation_0k5x6v_text	Мер напевно знаэ, що робить.
conversation_unbiry_text	Приэмно тебе знову бачити!
conversation_fdlynd_text	Тут знайомства заводити ох як непросто.
conversation_7ymnmr_text	Не те що вдома: як тебе зберуть, вiдразу всiх знаэш.
conversation_enl4xa_text	Це мiсто живе в своэму ритмi, всi занадто зайнятi, щоб просто поговорити. Навiть на ввiчливiсть часу не вистачаэ!
conversation_aptgjz_text	Нi, справа просто в тобi.
conversation_cqddcg_text	Фен, припини, ввiчливiше!
conversation_3avufg_text	Ех... Я iнодi думаю: а вони взагалi помiчають, коли хтось пропав?
conversation_bibnd6_text	Я ж так розумiю, тут народ вiчно пропадаэ.
conversation_l5r7sq_text	У нас-то вдома хоч дружити вмiють i своïх не кидають.
conversation_axrc0a_text	Я як тебе побачила - вiдразу зрозумiла, що ти з маленького мiстечка! Ти ж вмiэш дружити, правда?
conversation_4ure1i_text	Ти говорила з цiэю пришелепкуватою професоркою, яка ракету будуэ?
conversation_qahysn_text	Кажуть, вона успадкувала купу грошей i всi ïх витрачаэ на ракету.
conversation_5923lp_text	От нiби нiкуди бiльше!
conversation_t94xdc_text	У нас в селi теж були такi - ракету будували.
conversation_x71xpu_text	Може, щось тут затiваэться, ти як думаэш?
conversation_q3y399_text	Але, по-моэму, ця - найкрасивiша. Нашу-то з силосноï вежi майстрували.
conversation_12pu8k_text	Ти тiльки подумай: божевiльнi ботанiки будують ракети по всьому свiту. Як подумаю, {format laugh}смiх розбираэ{format reset}.
conversation_e4onuf_text	У тебе втомлений вигляд.
conversation_ob0wy7_text	Тут стiльки всього дiэться... Голова обертом!
conversation_54qfjg_text	Я вирiшила. Поïду додому.
conversation_i33o07_text	Ми там хвилюэмося, тiльки коли татусь Пепер виганяэ парокопитних з хлiва.
conversation_7bo632_text	Не працюю я пiд стресом. Може, заведу собi десяток парокотикiв.
conversation_jcodma_text	Може, я ще позмагаюся з Бесс Клепкiнс в конкурсi мастильникiв.
conversation_rjax07_text	От буде {format singsong}здорово{format reset} утерти нiс цiй задавацi Бесс Клепкiнс.
conversation_kzt23q_text	Думаю, менi треба повертатися додому, на ферму.

# climber_01
conversation_vyjpoj_text	Через землетрус лiфт просто обiрвався!
conversation_ctbic6_text	{format singsong}Ой-йо-йой{format reset}. Хтось розбився?
conversation_m9r7tc_text	Що ви, {format nervous}як можна!{format reset} Що ти за жахливе {format emph}створiння{format reset}?
conversation_045qay_text	Гей, вiд {format emph}створiння{format reset} чую! Якби в мене був мiй амулет, я б випарувала тебе на мiсцi!
conversation_fccwnq_text	Ну, ким би ти не була, тобi варто повчитися манерам!
conversation_8oqmau_text	Будь ласка, вибачте нас, мем. Фен ще погано орiэнтуэться в нашому суспiльствi.
conversation_acx7g7_text	I скiльки ж менi чекати, доки цей лiфт не полагодять?
conversation_matp87_text	Чекати тут в пустелi, на самотi, не годиться боту мого становища.
conversation_eb6uiw_text	Чекати тут в пустелi, на самотi, не годиться боту мого становища.
conversation_c7c7g6_text	Мiсцевому меру бракуэ бренду, але вiн не безнадiйний.
conversation_mdqfxx_text	Боти нерiдко стають бiльшим, нiж проста комбiнацiя складальних деталей.
conversation_uynh2z_text	Менi слiд дозволити собi довiритися його думцi. I всiм iншим теж.
conversation_if7w3g_text	Не бачу нiчого страшного в цих землетрусах. Цей лiфт напевно давно потребував ремонту.
conversation_540zgf_text	Маю велику надiю, що вони пришлють когось полагодити цей механiзм. У мене, знаэте, {format emph}не так багато{format reset} часу, щоб стояти тут i чекати.
conversation_t8w29c_text	То, е... лiфт все ще зламаний?
conversation_2y8m3i_text	Вочевидь, нi.
conversation_sbn8ap_text	Тут не мiсце для такоï ледi, як я, але тут хоча б тихо.
conversation_x0xmdc_text	Ця нестерпна професорка по сусiдству постiйно шумить зi своïми ракетами!
conversation_9hvgg5_text	Може, ти ïх з урвища скинеш?
conversation_b63bbp_text	Пф! Ледi не лазять.
conversation_ff5hlh_text	Ледi не лазять. Я маю намiр чекати, доки не полагодять лiфт або доки мене хтось не понесе. Iнше менi не пiдходить.
conversation_3lbfex_text	Все тут стирчимо, га?
conversation_ykf245_text	Так, я {format emph}все ще тут{format reset}. I, так, лiфт {format emph}все ще зламаний{format reset}. Глузування тут недоречнi.
conversation_c50t6h_text	Але це ж абсурд! Ледi на зразок мене напевно обшукали там, серед цих iржавих залiзяк нагорi.
conversation_8rvp8u_text	Меру варто пояснити свою поведiнку.
conversation_wpxim7_text	Я впевнена, що всi побиваються про мене. Я важлива персона, знаэш.
conversation_gtukg8_text	Ти ж нiкуди не збираэшся, так?
conversation_cudej5_text	У мене з'явилося нове хобi.
conversation_h438q0_text	Рахую паломникiв, якi прямують на захiд, до цього гидкого храму.
conversation_e0mg3i_text	У нормальних умовах я б на них нiякоï уваги не звернула, але тут так нудно.
conversation_x9lbaf_text	Цi паломники щось затiвають. Менi, звiсно, не варто опускатися до подiбних дрiбниць.
conversation_ef66r2_text	Знову ти? Тобi бiльше робити нiчого, окрiм як турбувати мене?
conversation_4ay3w5_text	Э, але тролити тебе так весело!
conversation_b1t04s_text	Мало менi цих землетрусiв.
conversation_6ntyzc_text	Гаразд. Я прийшла до висновку, що цей мер - iдiот.
conversation_9sm12u_text	Розумiю, в це важко повiрити, але навiть я iнколи трохи вiдхиляюся вiд iстини у своïх мiркуваннях.
conversation_ce5r53_text	Та ти що!
conversation_1zdfzx_text	Цiкаво, скiльки може коштувати квиток на ракету...
conversation_4y3t9l_text	Цiкаво, скiльки може коштувати квиток на ракету...
conversation_bfqth1_text	Чекати тут у пустелi, на самотi, не годиться особi мого становища.

# entering_guidance
conversation_kohvbb_text	{format emph}Ай!{format reset}
conversation_1a5f80_text	Та щоб тебе! Свiтло згасло. Зламалося.
conversation_9rx08a_text	Ого! Це ще {format emph}що{format reset} за мiсце?
conversation_ojjbl5_text	Потрiбно озирнутися тут i {format highlight}знайти iнший шлях назовнi{format reset}.

# cutscene_fen
conversation_y5enud_text	О {format singsong}велике Дороговказiвне Свiтло!{format reset} Засяй нам.
conversation_hnsad0_text	ТАК, МОЖЕШ ГРIТИСЯ В МОЭМУ РУЙНIВНОМУ СЯЙВI.
conversation_a1al3q_text	{format singsong}О щастя!{format reset} Нас чекаэ велике вознесiння!

# cutscene_fen_02
conversation_2ln8fi_text	Гей! Схиблений фанатику, я тебе зараз освiчу!
conversation_qzp3tz_text	Я ж кажу, я {format emph}не фанатик!{format reset}
conversation_ksn1s4_text	Та ну? Ви, боти, для мене всi на одне обличчя.
conversation_g22jzu_text	{format emph}Ти{format reset} змахуэш на спрайт Вектрона. Як так {format emph}може бути?{format reset}
conversation_01a075_text	Мiй друг Растi знищив Вектрон - перш нiж сам зник.
conversation_w28at6_text	Секта вкрала мене i пiдрубала сюди, щоб поклонятися. Хотiли, щоб я ïх випарувала. Вознесла, {format laugh}ги-ги-ги!{format reset}
conversation_krzwlf_text	Хм... А я без амулета з цим не впораюся. I що нам тепер робити?
conversation_wfa9i6_text	Ну... {format emph}Особисто я{format reset} збираюся нагору, до великого мiста. Кажуть, там бачили Растi.
conversation_qhu4n0_text	У мiсто, кажеш? Ну гаразд, якщо ти так наполягаэш, доведеться пiти з тобою.

# cutscene_fen_01
conversation_e2v16f_text	В ЯБЛУЧКО! {format laugh}ХА-ХА-ХА!{format reset}
conversation_z0997i_text	Ух ти! Що там {format emph}вiдбуваэться{format reset}?
conversation_0dz6we_text	ЯК МИЛО! ЩЕ ОДИН ПАЛОМНИК!
conversation_mzljgp_text	Але я не...
conversation_yadt78_text	ГОТУЙСЯ ВИПАРУВАТИСЯ! {format laugh}ПIУ-ПIУ!{format reset}

# fen_ledge_01
conversation_cukwql_text	О-о-о, що за вид! Хочеш ближче подивитися?

# fen_ledge_02
conversation_aszmw4_text	Давай, пiдiйди ближче!
conversation_skvrgn_text	{format singsong}Бли-и-ижче, бандерлоги...{format reset} {format laugh}хi-хi-хi!{format reset}

# old_salesbot_01
conversation_x6t79e_text	Iржа мене ïж, якщо це не Доротi Мак-Скнар!
conversation_yu1bwf_text	Мiстер Карсон! Я вже не думала, що зустрiну знайомих так далеко вiд дому.
conversation_0hioym_text	Ну що, як там справи в вашому Тамблтонi? Чутки рiзнi ходять!
conversation_dslq5p_text	Все почалося з приïзду Растi. Вiн накопав у шахтi купу всього цiнного та привiв мiсто до процвiтання.
conversation_8tr70j_text	Але потiм внизу вiн виявив якусь дивну технiку. Вiн об'эднався з нею i став сильнiший.
conversation_70kkpo_text	Давай вже, переходь до найцiкавiшого!
conversation_xfpxnh_text	Гаразд. Виявилося, джерело таэмничоï сили небезпечне для всiх нас.
conversation_epbknd_text	Вiн здолав його i врятував нас, але пiсля цього зник. I з тих пiр я його шукаю.
conversation_c5qvu8_text	Один мандрiвник побачив моï оголошення про зникнення, i сказав менi, що Растi бачили у шахтi в Ель Макiно.
conversation_i625og_text	Так, класна iсторiя!
conversation_umknih_text	Якщо у двох словах, мiй друг зник.
conversation_hp7xc3_text	Один мандрiвник побачив моï оголошення про зникнення i сказав, що бачив його у шахтi в Ель Макiно.
conversation_nfwjrx_text	Зараз лiфт у мiсто зламаний, доведеться тобi {format highlight}лiзти вгору самiй{format reset}.
conversation_c1qqn0_text	Я, до речi, теж скоро там буду. Заходь, якщо тобi знадобляться деталi {image cogs_small}. Купи ïх, щоб легше було в шахтах.
conversation_m6jpam_text	Сподiваюся, тобi пощастить його знайти.
conversation_q4eiud_text	А я ще посиджу тут, дам старим пружинам вiдпочити, перш нiж пiднiматися в мiсто.
conversation_yx3y9m_text	А поки я чекаю, може, ти розкажеш менi, що сталося в Тамблтонi?
conversation_x7qfv2_text	Гаразд, може, iншим разом.
conversation_5nktdz_text	Ах! Обожнюю мiську розкiш.
conversation_tj5uh7_text	Хiпстероботи тут готовi платити будь-яку цiну за моï фiрмовi деталi для полiпшень {image cogs_small}.
conversation_nqd450_text	Я непогано влаштувався. Ïжджу туди-сюди, продаю кориснi детальки.
conversation_ny6f1a_text	Зазвичай я ïх купую на розпродажах i в комiсiонках, але деякi можна знайти просто при дорозi.
conversation_smo857_text	Вони здiйснюють такий характерний шум, нiби цокають неголосно.
conversation_gq1rfi_text	З незвички ïх важко почути, але якщо будеш старанно прислухатися, то все вийде.
conversation_dm175r_text	Давненько я твого тата не бачив, як вiн там?
conversation_w6hv5b_text	Боюся, помер недавно.
conversation_by4nym_text	Ох, сумно-то як! Я завжди думав, вiн нас усiх переживе...
conversation_1g9zr8_text	...Вже хоча б з чистоï впертостi.
conversation_cgmjf4_text	Я теж...
conversation_i5igy1_text	А що ж сталося з вашим магазинчиком, якщо ти тут копаэш?
conversation_lp4kx4_text	О, в Тамблтонi все як i ранiше. У мене була купа покупцiв на бiзнес.
conversation_a7uh25_text	Я-то завжди хотiла в шахтi працювати, тiльки тато казав, що це занадто небезпечно.
conversation_kyijyo_text	Ну що ж, я радий, що ти тепер займаэшся улюбленою справою.
conversation_s5417g_text	Добре було б все-таки знайти того хлопця, який врятував твоэ мiстечко.
conversation_tgpso6_text	У мене тодi не було справ у ваших краях.
conversation_10nfc4_text	Як ти говориш, його звуть? Пристрастi... Чи нi... Здрастi! Так же, так?
conversation_vzg8gx_text	Растi...
conversation_ymzbde_text	Ну так, точно. То що, вiн здолав величезного монстра в шахтi? Сам, без будь-якоï допомоги?
conversation_la8vr6_text	А коли все закiнчилося, просто зник!
conversation_k59dwv_text	Ну що ж, крихiтка Дот, успiхiв у пошуках. Сподiваюся, вiн живий-здоровий i ти його знайдеш.
conversation_bzq0aw_text	Свiт дуже змiнився з тих пiр, як я був юним ботом.
conversation_zc6l96_text	У шахтi росте лiс, боти в космос збираються...
conversation_jnptai_text	А я все продаю деталi {image cogs_small}, як завжди.
conversation_rk0bii_text	Майбутнэ - його ви, молодi, будуэте.
conversation_r74j24_text	До речi, у мене тут э деталi {image cogs_small} на продаж. З тебе багато не вiзьму!
conversation_0qym9q_text	Ну як, хочеш ще шестiрню-другу {image cogs_small}?
conversation_yx06g0_text	Як тобi пропозицiя: Можеш придбати вiдмiнну нову шестерню {image cogs_small} всього-то за ${var pricelist_next:carson_cogs}{image money_small}.
conversation_x4iaao_text	З тобою приэмно мати справу, заходь ще!
conversation_zfed36_text	Ти чудовий клiэнт, Доттi! Це остання деталь. Радий, що вони тобi знадобилися!
conversation_koo3mt_text	Ех, хотiв би я тобi задарма допомогти, але нам, торговцям, теж треба на щось жити.
conversation_1yrec8_text	Ну гаразд. Приходь, як шестерiнки знадобляться {image cogs_small}!
conversation_27y4o8_text	А у тебе, я бачу, таткова кмiтливiсть.

# cutscene_fen_03
conversation_c3lb0g_text	Гей, ти що коïш? А ну, {format emph}геть{format reset} з моэï топки!

# fen_conquerer
conversation_f2k0wg_text	Ось, значить, як воно нагорi. Свiтло!
conversation_x8lfrw_text	Гей, а у тебе кльова мапа! Можеш по нiй кого-небудь знайти?
conversation_02breo_text	I хотiла б - не знайшла б.
conversation_fek90f_text	Ти менi нагадуэш свiтлякiв з батькових iсторiй. Вони були просто феноменально противнi.
conversation_duq0rd_text	Буду називати тебе Феномен. Фен для стислостi.
conversation_uostgv_text	Я Доротi. Можна Дот.
conversation_em0ovz_text	Ну i добре. Полiзу-но я назад, грiтися.
conversation_tats2u_text	Розбуди, як буде щось цiкаве.

# mayor_01
conversation_szoc5w_text	Добрий день, я спiзнююся на полiрування. Скарги залишайте в кабiнетi.
conversation_r6bmk4_text	Якщо це щодо землетрусiв, можете не турбуватися. Звичайне явище в цiй мiсцевостi.
conversation_orgrlo_text	Я не скаржитися прийшла. Менi потрiбен доступ у шахту, щоб знайти там зниклого бота.
